diagnostics	Image-original	Spacing	"(0.41015624999999994, 0.41015624999999994, 0.5500007271766663)"
diagnostics	Image-original	Size	"(512, 512, 140)"
diagnostics	Image-original	Mean	3.321511404854911e-05
diagnostics	Image-original	Minimum	0
diagnostics	Image-original	Maximum	1
diagnostics	Mask-original	Hash	7e19383a13b46b605f399bb952555c33d58037ea
diagnostics	Mask-original	Spacing	"(0.41015624999999994, 0.41015624999999994, 0.5500007271766663)"
diagnostics	Mask-original	Size	"(512, 512, 140)"
diagnostics	Mask-original	BoundingBox	"(244, 295, 84, 15, 15, 11)"
diagnostics	Mask-original	VoxelNum	1219
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	"(251.0, 302.0, 89.0)"
diagnostics	Mask-original	CenterOfMass	"(1.6406250000000142, -19.27734374999997, 10.450015127658844)"
original	shape	Elongation	0.9999999999999996
original	shape	Flatness	0.9866498951335685
original	shape	LeastAxisLength	5.316188774225786
original	shape	MajorAxisLength	5.388120751288483
original	shape	Maximum2DDiameterColumn	6.270612892468452
original	shape	Maximum2DDiameterRow	6.270612892468452
original	shape	Maximum2DDiameterSlice	6.367337277762899
original	shape	Maximum3DDiameter	6.479652581
original	shape	MeshVolume	111.57045810415413
original	shape	MinorAxisLength	5.388120751288481
original	shape	Sphericity	0.8952783491915794
original	shape	SurfaceArea	125.18689085194922
original	shape	SurfaceVolumeRatio	1.1220433525072002
original	shape	VoxelVolume	112.78871189686012
original	firstorder	10Percentile	1
original	firstorder	90Percentile	1
original	firstorder	Energy	1219
original	firstorder	Entropy	-3.20E-16
original	firstorder	InterquartileRange	0
original	firstorder	Kurtosis	0
original	firstorder	Maximum	1
original	firstorder	MeanAbsoluteDeviation	0
original	firstorder	Mean	1
original	firstorder	Median	1
original	firstorder	Minimum	1
original	firstorder	Range	0
original	firstorder	RobustMeanAbsoluteDeviation	0
original	firstorder	RootMeanSquared	1
original	firstorder	Skewness	0
original	firstorder	TotalEnergy	112.78871189686012
original	firstorder	Uniformity	1
original	firstorder	Variance	0
original	glcm	Autocorrelation	1
original	glcm	ClusterProminence	0
original	glcm	ClusterShade	0
original	glcm	ClusterTendency	0
original	glcm	Contrast	0
original	glcm	Correlation	1
original	glcm	DifferenceAverage	0
original	glcm	DifferenceEntropy	-3.20E-16
original	glcm	DifferenceVariance	0
original	glcm	Id	1
original	glcm	Idm	1
original	glcm	Idmn	1
original	glcm	Idn	1
original	glcm	Imc1	0
original	glcm	Imc2	0
original	glcm	InverseVariance	0
original	glcm	JointAverage	1
original	glcm	JointEnergy	1
original	glcm	JointEntropy	-3.20E-16
original	glcm	MCC	1
original	glcm	MaximumProbability	1
original	glcm	SumAverage	2
original	glcm	SumEntropy	-3.20E-16
original	glcm	SumSquares	0
original	gldm	DependenceEntropy	3.1593326551912586
original	gldm	DependenceNonUniformity	264.64068908941755
original	gldm	DependenceNonUniformityNormalized	0.21709654560247543
original	gldm	DependenceVariance	25.510140575694784
original	gldm	GrayLevelNonUniformity	1219
original	gldm	GrayLevelVariance	0
original	gldm	HighGrayLevelEmphasis	1
original	gldm	LargeDependenceEmphasis	541.0869565217391
original	gldm	LargeDependenceHighGrayLevelEmphasis	541.0869565217391
original	gldm	LargeDependenceLowGrayLevelEmphasis	541.0869565217391
original	gldm	LowGrayLevelEmphasis	1
original	gldm	SmallDependenceEmphasis	0.002394961
original	gldm	SmallDependenceHighGrayLevelEmphasis	0.002394961
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.002394961
original	glrlm	GrayLevelNonUniformity	201.30769230769232
original	glrlm	GrayLevelNonUniformityNormalized	1
original	glrlm	GrayLevelVariance	0
original	glrlm	HighGrayLevelRunEmphasis	1
original	glrlm	LongRunEmphasis	49.20837497388815
original	glrlm	LongRunHighGrayLevelEmphasis	49.20837497388815
original	glrlm	LongRunLowGrayLevelEmphasis	49.20837497388815
original	glrlm	LowGrayLevelRunEmphasis	1
original	glrlm	RunEntropy	2.8507183097404254
original	glrlm	RunLengthNonUniformity	31.142676886338414
original	glrlm	RunLengthNonUniformityNormalized	0.15450364034099393
original	glrlm	RunPercentage	0.16514166719252854
original	glrlm	RunVariance	6.099027687325132
original	glrlm	ShortRunEmphasis	0.090482411
original	glrlm	ShortRunHighGrayLevelEmphasis	0.090482411
original	glrlm	ShortRunLowGrayLevelEmphasis	0.090482411
original	glszm	GrayLevelNonUniformity	1
original	glszm	GrayLevelNonUniformityNormalized	1
original	glszm	GrayLevelVariance	0
original	glszm	HighGrayLevelZoneEmphasis	1
original	glszm	LargeAreaEmphasis	1485961
original	glszm	LargeAreaHighGrayLevelEmphasis	1485961
original	glszm	LargeAreaLowGrayLevelEmphasis	1485961
original	glszm	LowGrayLevelZoneEmphasis	1
original	glszm	SizeZoneNonUniformity	1
original	glszm	SizeZoneNonUniformityNormalized	1
original	glszm	SmallAreaEmphasis	6.729651720334518e-07
original	glszm	SmallAreaHighGrayLevelEmphasis	6.729651720334518e-07
original	glszm	SmallAreaLowGrayLevelEmphasis	6.729651720334518e-07
original	glszm	ZoneEntropy	-3.20E-16
original	glszm	ZonePercentage	0.000820345
original	glszm	ZoneVariance	0
original	ngtdm	Busyness	0
original	ngtdm	Coarseness	1000000
original	ngtdm	Complexity	0
original	ngtdm	Contrast	0
original	ngtdm	Strength	0
